epoch,accuracy,loss,val_accuracy,val_loss
0,0.3150480091571808,1.996230125427246,NA,NA
1,0.3192879855632782,1.9724911451339722,NA,NA
2,0.32553601264953613,1.949744701385498,NA,NA
3,0.32286399602890015,1.9417725801467896,NA,NA
4,0.32686400413513184,1.939603328704834,NA,NA
5,0.3320640027523041,1.9253567457199097,NA,NA
6,0.33085599541664124,1.91984224319458,NA,NA
7,0.33138400316238403,1.9247316122055054,NA,NA
8,0.3349440097808838,1.9158238172531128,NA,NA
9,0.3304319977760315,1.9269955158233643,NA,NA
10,0.33297601342201233,1.9205617904663086,NA,NA
11,0.349592000246048,1.8503445386886597,NA,NA
12,0.34994399547576904,1.845633864402771,NA,NA
13,0.34986400604248047,1.8428293466567993,NA,NA
14,0.35390400886535645,1.8295912742614746,NA,NA
15,0.3548719882965088,1.825128197669983,NA,NA
16,0.3543359935283661,1.8304555416107178,NA,NA
17,0.35921600461006165,1.8151580095291138,NA,NA
18,0.35732001066207886,1.8213400840759277,NA,NA
19,0.35967200994491577,1.8098933696746826,NA,NA
20,0.3606719970703125,1.8086572885513306,NA,NA
21,0.36484798789024353,1.7985339164733887,NA,NA
22,0.3600560128688812,1.8033430576324463,NA,NA
23,0.3643200099468231,1.7957991361618042,NA,NA
24,0.36185601353645325,1.7994370460510254,NA,NA
25,0.3668160140514374,1.790570855140686,NA,NA
26,0.3670800030231476,1.7911291122436523,NA,NA
27,0.3618159890174866,1.7942993640899658,NA,NA
28,0.37300801277160645,1.7620136737823486,NA,NA
29,0.37543201446533203,1.7540212869644165,NA,NA
30,0.37615200877189636,1.7539217472076416,NA,NA
31,0.37856799364089966,1.746290683746338,NA,NA
32,0.3776159882545471,1.7493376731872559,NA,NA
33,0.37991198897361755,1.7446750402450562,NA,NA
34,0.37968799471855164,1.7447412014007568,NA,NA
35,0.37965598702430725,1.742578387260437,NA,NA
36,0.3812960088253021,1.7399519681930542,NA,NA
37,0.37988799810409546,1.7404056787490845,NA,NA
38,0.38252800703048706,1.734595537185669,NA,NA
39,0.383543998003006,1.732218623161316,NA,NA
